,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
0,aparna shukla,"Evolution of glacial and high-altitude lakes in the Sikkim, Eastern Himalaya over the past four decades (1975–2017)","Ice accumulation rate in Changme-Khangpu glacier, Sikkim",New Delhi,28.6138954,77.2090057,,New Delhi,Delhi,India
1,MANOHAR SAJNANI,Rural homestays reviving culture and traditions: A study analysing expectation and satisfaction of homestay's guests,An assessment and development of service quality framework of homestay in Sikkim,Tourism,35.676016,139.7499183,,Chiyoda,,Japan
2,Dr. RK Sharma,"Suspended sediment dynamics and associated hydro-meteorological interrelations in East Rathong Glacier, Eastern Himalaya, India","Ice accumulation rate in Changme-Khangpu glacier, Sikkim",Dept. of Environmental Science,19.90153415,75.30793750033807,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,Maharashtra,India
3,Tariq Abdullah,"Explaining the natural and anthropogenic factors driving glacier recession in Kashmir Himalaya, India","Ice accumulation rate in Changme-Khangpu glacier, Sikkim",Awantipora,33.88208445,75.02975290939368,Awantipora,,Jammu and Kashmir,India
4,Nagendra Thakur,"Distribution of antibiotic and metal resistance genes in two glaciers of North Sikkim, India","Ice accumulation rate in Changme-Khangpu glacier, Sikkim",Sikkim University,27.3109734,88.5950683,,Gangtok,Sikkim,India
5,Smriti Srivastava,"Evolution of glacial and high-altitude lakes in the Sikkim, Eastern Himalaya over the past four decades (1975–2017)","Ice accumulation rate in Changme-Khangpu glacier, Sikkim","University of Utah, United States",40.762813699999995,-111.83687191368261,Salt Lake County,Salt Lake City,Utah,United States
6,Tariq Abdullah,"Explaining the natural and anthropogenic factors driving glacier recession in Kashmir Himalaya, India","Ice accumulation rate in Changme-Khangpu glacier, Sikkim",Islamic University of Science & Technology,33.9255414,75.01866643893769,Awantipora,,Jammu and Kashmir,India
7,aparna shukla,"On the strongly imbalanced state of glaciers in the Sikkim, eastern Himalaya, India","Ice accumulation rate in Changme-Khangpu glacier, Sikkim",New Delhi,28.6138954,77.2090057,,New Delhi,Delhi,India
8,Tobias Bolch,"The influence of debris cover and glacial lakes on the recession of glaciers in Sikkim Himalaya, India","Ice accumulation rate in Changme-Khangpu glacier, Sikkim",Graz University of Technology,47.0582807,15.46024619962457,,Graz,Styria,Austria
9,Irfan Rashid,"Explaining the natural and anthropogenic factors driving glacier recession in Kashmir Himalaya, India","Ice accumulation rate in Changme-Khangpu glacier, Sikkim",University of Kashmir,34.134053,74.83672752735123,Srīnagar,Srinagar,Jammu and Kashmir,India
10,Dr. RK Sharma,"Suspended sediment dynamics and associated hydro-meteorological interrelations in East Rathong Glacier, Eastern Himalaya, India","Ice accumulation rate in Changme-Khangpu glacier, Sikkim",Sharda University,28.4734073,77.4829339,Gautam Buddha Nagar,,Uttar Pradesh,India
